date,lat,lon,time
09/06/2018,51.4697374,-0.3583245,Midday
10/06/2018,51.427813,-0.101972,Early Morning
11/06/2018,51.4904471,-0.2772377,Evening
09/06/2018,51.5276501,-0.3389393,Afternoon Rush
10/06/2018,51.4848115,-0.1811672,Afternoon Rush
11/06/2018,51.4484455,-0.1992768,Afternoon Rush
09/06/2018,51.5527868,-0.0098128,Midday
10/06/2018,51.5174326,0.0149825,Midday
11/06/2018,51.498142,-0.0644671,Evening
09/06/2018,51.4227479,-0.4462423,Evening
10/06/2018,51.5409107,-0.1967427,Midday
11/06/2018,51.5904557,-0.1034463,Afternoon Rush
09/06/2018,51.5682512,0.2026648,Morning Rush
10/06/2018,51.4579512,-0.0131307,Afternoon Rush
11/06/2018,51.4205949,-0.2216915,Midday
09/06/2018,51.4697374,-0.3583245,Midday
10/06/2018,51.5189796,-0.16859,Morning Rush
11/06/2018,51.53584,-0.2204934,Midday
09/06/2018,51.554994,-0.074717,Midday
10/06/2018,51.50722,-0.1275,Midday
11/06/2018,51.5167512,-0.062343,Afternoon Rush
09/06/2018,51.4851766,-0.1743563,Afternoon Rush
10/06/2018,51.530727,-0.4183347,Morning Rush
11/06/2018,51.5908523,0.0826098,Afternoon Rush
09/06/2018,51.4632453,-0.2158717,Afternoon Rush
10/06/2018,51.5112079,-0.1193447,Midday
11/06/2018,51.5492629,0.1021538,Morning Rush
09/06/2018,51.5495958,-0.2221615,Afternoon Rush
10/06/2018,51.4069079,0.0264306,Midday
11/06/2018,51.4740395,-0.1477017,Evening
09/06/2018,51.4196959,-0.0806793,Morning Rush
10/06/2018,51.4347375,-0.0352035,Morning Rush
11/06/2018,51.5149226,-0.1448236,Midday
09/06/2018,51.496991,-0.1025916,Evening
10/06/2018,51.496991,-0.1025916,Evening
11/06/2018,51.5492629,0.1021538,Morning Rush
09/06/2018,51.5395446,0.1376789,Morning Rush
10/06/2018,51.5227912,-0.1712236,Midday
11/06/2018,51.5492629,0.1021538,Midday
09/06/2018,51.4652642,-0.1323223,Morning Rush
10/06/2018,51.4754609,-0.133151,Morning Rush
11/06/2018,51.3995468,-0.304858,Midday
09/06/2018,51.5758382,-0.0151075,Evening
10/06/2018,51.4462841,-0.3019054,Morning Rush
11/06/2018,51.5628636,0.0027378,Midday
09/06/2018,51.4486718,-0.1726312,Evening
10/06/2018,51.5282162,0.1059758,Midday
11/06/2018,51.5757636,-0.2041651,Early Morning
09/06/2018,51.496991,-0.1025916,Midday
10/06/2018,51.5204458,-0.0175687,Midday
11/06/2018,51.5031146,-0.2431833,Evening
09/06/2018,51.4998708,-0.1858888,Midday
10/06/2018,51.5141921,-0.4300307,Evening
11/06/2018,51.4808599,-0.4231366,Midday
09/06/2018,51.4761198,-0.3532215,Afternoon Rush
10/06/2018,51.4493611,-0.074535,Midday
11/06/2018,51.4603233,-0.0603926,Morning Rush
09/06/2018,51.3810677,-0.1717941,Midday
10/06/2018,51.519616,-0.1218432,Morning Rush
11/06/2018,51.464007,-0.3014498,Evening
09/06/2018,51.461311,-0.303742,Evening
10/06/2018,51.5757636,-0.2041651,Evening
11/06/2018,51.5611836,-0.1971136,Midday
09/06/2018,51.4997548,-0.0680069,Evening
10/06/2018,51.6515169,-0.0794567,Afternoon Rush
11/06/2018,51.583896,-0.1467726,Evening
09/06/2018,51.4808599,-0.4231366,Evening
10/06/2018,51.5340068,-0.2192881,Evening
11/06/2018,51.369703,-0.1027673,Evening
09/06/2018,51.5101602,-0.287387,Midday
10/06/2018,51.5101602,-0.287387,Midday
11/06/2018,51.481395,-0.2180887,Afternoon Rush
09/06/2018,51.4840259,-0.2070594,Morning Rush
10/06/2018,51.5632697,-0.3677128,Evening
11/06/2018,51.4973154,-0.0990542,Morning Rush
09/06/2018,51.4409636,-0.1869488,Evening
10/06/2018,51.5123373,-0.2249677,Midday
11/06/2018,51.4086385,-0.0595237,Midday
09/06/2018,51.5167977,-0.0810585,Afternoon Rush
10/06/2018,51.5294925,-0.179034,Midday
11/06/2018,51.5154539,-0.3037829,Afternoon Rush
09/06/2018,51.4851766,-0.1743563,Midday
10/06/2018,51.5567912,0.1889409,Midday
11/06/2018,51.5101602,-0.287387,Midday
09/06/2018,51.4533088,-0.1205905,Afternoon Rush
10/06/2018,51.5884783,-0.118536,Evening
11/06/2018,51.488956,-0.1504005,Midday
09/06/2018,51.6239766,-0.2871003,Midday
10/06/2018,51.4704175,-0.2440004,Midday
11/06/2018,51.5866593,-0.010024,Morning Rush
09/06/2018,51.6512595,-0.2159519,Midday
10/06/2018,51.3921705,-0.0341933,Evening
11/06/2018,51.4653416,-0.0311541,Morning Rush
09/06/2018,51.3625128,-0.118073,Midday
10/06/2018,51.5276501,-0.3389393,Midday
11/06/2018,51.5318236,-0.0903154,Midday
09/06/2018,51.396332,-0.2397965,Midday
10/06/2018,51.5213288,-0.168064,Midday
11/06/2018,51.5705582,-0.0960841,Afternoon Rush
09/06/2018,51.5705582,-0.0960841,Evening
10/06/2018,51.5147351,-0.2019432,Midday
11/06/2018,51.4813534,-0.2360018,Afternoon Rush
09/06/2018,51.5135323,-0.1363182,Midday
10/06/2018,51.496991,-0.1025916,Midday
11/06/2018,51.500276,-0.149099,Midday
09/06/2018,51.50722,-0.1275,Midday
10/06/2018,51.4704175,-0.2440004,Midday
11/06/2018,51.5149226,-0.1448236,Morning Rush
09/06/2018,51.5612551,-0.1368691,Midday
10/06/2018,51.5382356,-0.1420054,Afternoon Rush
11/06/2018,51.3904809,-0.1060317,Midday
09/06/2018,51.554994,-0.074717,Midday
10/06/2018,51.50722,-0.1275,Midday
11/06/2018,51.5101602,-0.287387,Evening
09/06/2018,51.6078336,-0.1640502,Midday
10/06/2018,51.577515,-0.106504,Midday
11/06/2018,51.6129362,-0.2768678,Morning Rush
09/06/2018,51.5904557,-0.1034463,Evening
10/06/2018,51.5778436,0.1860797,Midday
11/06/2018,51.5212019,-0.4633863,Midday
09/06/2018,51.5570443,-0.1184111,Afternoon Rush
10/06/2018,51.5705582,-0.0960841,Midday
11/06/2018,51.4430476,0.2142254,Midday
09/06/2018,51.4094079,-0.3030746,Midday
10/06/2018,51.4356225,-0.1066583,Afternoon Rush
11/06/2018,51.4747489,-0.0249658,Morning Rush
09/06/2018,51.464007,-0.3014498,Morning Rush
10/06/2018,51.5112079,-0.1193447,Afternoon Rush
11/06/2018,51.5299092,-0.1860307,Evening
09/06/2018,51.6176542,-0.3095408,Midday
10/06/2018,51.5608033,-0.1995342,Evening
11/06/2018,51.397144,-0.0852703,Midday
09/06/2018,51.3691775,-0.0978931,Afternoon Rush
10/06/2018,51.4990797,0.0060965,Afternoon Rush
11/06/2018,51.4493611,-0.074535,Morning Rush
09/06/2018,51.4637225,-0.1496897,Midday
10/06/2018,51.4722042,-0.1127279,Midday
11/06/2018,51.4498706,-0.0467182,Afternoon Rush
09/06/2018,51.496991,-0.1025916,Midday
10/06/2018,51.4749631,-0.0921476,Afternoon Rush
11/06/2018,51.4571291,-0.372425,Afternoon Rush
09/06/2018,51.5348575,0.0514763,Midday
10/06/2018,51.5443146,-0.2113465,Midday
11/06/2018,51.5101602,-0.287387,Evening
09/06/2018,51.4405972,0.0694855,Morning Rush
10/06/2018,51.45998,0.1531595,Evening
11/06/2018,51.5135323,-0.1363182,Midday
09/06/2018,51.3736667,-0.2330327,Morning Rush
10/06/2018,51.5136054,-0.0491965,Midday
11/06/2018,51.6178247,0.0005881,Evening
09/06/2018,51.5422761,-0.2355554,Midday
10/06/2018,51.5450806,-0.2182891,Midday
11/06/2018,51.5382356,-0.1420054,Early Morning
09/06/2018,51.5904557,-0.1034463,Midday
10/06/2018,51.5879739,-0.0583666,Evening
11/06/2018,51.496991,-0.1025916,Afternoon Rush
09/06/2018,51.5418206,0.0505307,Midday
10/06/2018,51.5419138,0.0242003,Midday
11/06/2018,51.485209,0.1563876,Midday
09/06/2018,51.4405003,-0.1516194,Midday
10/06/2018,51.555706,-0.17648,Afternoon Rush
11/06/2018,51.5979127,-0.1987678,Afternoon Rush
09/06/2018,51.5158524,-0.238288,Midday
10/06/2018,51.5004522,-0.2350711,Midday
11/06/2018,51.5845477,-0.2697043,Afternoon Rush
09/06/2018,51.4653351,-0.0267639,Afternoon Rush
10/06/2018,51.5942369,-0.4092921,Midday
11/06/2018,51.4433163,-0.0944596,Midday
09/06/2018,51.4579512,-0.0131307,Midday
10/06/2018,51.4579512,-0.0131307,Afternoon Rush
11/06/2018,51.5000323,-0.5638554,Midday
09/06/2018,51.4545465,-0.0966608,Morning Rush
10/06/2018,51.5685484,-0.0157462,Midday
11/06/2018,51.3647892,-0.1949929,Midday
09/06/2018,51.4579629,-0.1949489,Evening
10/06/2018,51.4704175,-0.2440004,Midday
11/06/2018,51.6512595,-0.2159519,Midday
09/06/2018,51.496991,-0.1025916,Morning Rush
10/06/2018,51.375798,-0.014861,Afternoon Rush
11/06/2018,51.47347,-0.12238,Evening
09/06/2018,51.609163,-0.153494,Afternoon Rush
10/06/2018,51.581025,-0.338719,Midday
11/06/2018,51.576846,-0.345091,Afternoon Rush
09/06/2018,51.5904557,-0.1034463,Midday
10/06/2018,51.5287766,0.03377,Midday
11/06/2018,51.5386579,0.0425779,Midday
09/06/2018,51.4409636,-0.1869488,Morning Rush
10/06/2018,51.5202997,-0.1339967,Afternoon Rush
11/06/2018,51.5112079,-0.1193447,Early Morning
09/06/2018,51.5033918,-0.3173404,Evening
10/06/2018,51.4949409,-0.1846011,Midday
11/06/2018,51.4763596,0.0154459,Morning Rush
09/06/2018,51.4977002,-0.4035156,Evening
10/06/2018,51.496991,-0.1025916,Afternoon Rush
11/06/2018,51.380573,-0.077443,Afternoon Rush
09/06/2018,51.4923037,0.0677857,Morning Rush
10/06/2018,51.4895572,0.1184857,Morning Rush
11/06/2018,51.424628,-0.3630299,Midday
09/06/2018,51.55794,-0.207767,Midday
10/06/2018,51.4575317,-0.1430639,Morning Rush
11/06/2018,51.4682221,-0.1187937,Midday
09/06/2018,51.4316046,0.0260832,Morning Rush
10/06/2018,51.5227488,-0.1064032,Midday
11/06/2018,51.4939493,-0.0916606,Morning Rush
09/06/2018,51.4711635,-0.1774239,Midday
10/06/2018,51.4493611,-0.074535,Afternoon Rush
11/06/2018,51.5687188,-0.1081065,Midday
09/06/2018,51.5254197,0.0655169,Evening
10/06/2018,51.5462922,-0.2383456,Early Morning
11/06/2018,51.5379522,-0.3013132,Morning Rush
09/06/2018,51.5343325,-0.34999,Midday
10/06/2018,51.4777435,0.0515065,Afternoon Rush
11/06/2018,51.5635025,-0.0586468,Morning Rush
09/06/2018,51.4851766,-0.1743563,Morning Rush
10/06/2018,51.4696862,-0.2101645,Midday
11/06/2018,51.5904557,-0.1034463,Morning Rush
09/06/2018,51.4998708,-0.1858888,Evening
10/06/2018,51.4249291,-0.1406544,Evening
11/06/2018,51.4924837,-0.137412,Morning Rush
09/06/2018,51.4000067,-0.2290089,Midday
10/06/2018,51.5564213,0.0652347,Midday
11/06/2018,51.3740076,-0.1936329,Midday
09/06/2018,51.5828117,-0.0182881,Midday
10/06/2018,51.4570873,-0.1656169,Morning Rush
11/06/2018,51.4927475,-0.1252182,Midday
09/06/2018,51.5343659,-0.1742287,Midday
10/06/2018,51.3942736,-0.3018218,Afternoon Rush
11/06/2018,51.6175007,-0.1808491,Afternoon Rush
09/06/2018,51.5512187,0.045739,Midday
10/06/2018,51.4191411,-0.0756208,Early Morning
11/06/2018,51.51897,-0.11889,Afternoon Rush
09/06/2018,51.3554615,-0.1880461,Afternoon Rush
10/06/2018,51.4896828,0.0847348,Midday
11/06/2018,51.5980617,-0.3293283,Evening
09/06/2018,51.562254,0.218605,Midday
10/06/2018,51.5563407,-0.1256519,Midday
11/06/2018,51.5904557,-0.1034463,Midday
09/06/2018,51.4792413,-0.0941685,Morning Rush
10/06/2018,51.496991,-0.1025916,Evening
11/06/2018,51.4691497,-0.1908273,Afternoon Rush
09/06/2018,51.4571291,-0.372425,Midday
10/06/2018,51.4722042,-0.1127279,Evening
11/06/2018,51.4722042,-0.1127279,Midday
09/06/2018,51.3304757,-0.1126748,Evening
10/06/2018,51.540588,-0.0782867,Midday
11/06/2018,51.4405972,0.0694855,Midday
09/06/2018,51.5531198,-0.2952046,Early Morning
10/06/2018,51.4704175,-0.2440004,Morning Rush
11/06/2018,51.5904557,-0.1034463,Midday
09/06/2018,51.446737,-0.403969,Midday
10/06/2018,51.4415283,-0.1248256,Evening
11/06/2018,51.4738891,-0.0684374,Midday
09/06/2018,51.496991,-0.1025916,Early Morning
10/06/2018,51.51352,-0.005578,Midday
11/06/2018,51.5398261,-0.1248492,Midday
09/06/2018,51.5478561,-0.1605106,Evening
10/06/2018,51.472603,-0.453178,Midday
11/06/2018,51.546324,-0.24984,Early Morning
09/06/2018,51.4846097,-0.1758684,Early Morning
10/06/2018,51.5164907,-0.0940443,Midday
11/06/2018,51.3898224,-0.2979364,Evening
09/06/2018,51.4722042,-0.1127279,Midday
10/06/2018,51.496991,-0.1025916,Evening
11/06/2018,51.4715335,-0.030349,Early Morning
09/06/2018,51.5308579,-0.0401927,Afternoon Rush
10/06/2018,51.4738891,-0.0684374,Midday
11/06/2018,51.4228425,-0.0768351,Afternoon Rush
09/06/2018,51.4228425,-0.0768351,Afternoon Rush
10/06/2018,51.6854571,-0.0248346,Midday
11/06/2018,51.4486718,-0.1726312,Afternoon Rush
09/06/2018,51.5371821,-0.1395841,Evening
10/06/2018,51.3963785,-0.106261,Afternoon Rush
11/06/2018,51.47347,-0.12238,Morning Rush
09/06/2018,51.5343659,-0.1742287,Afternoon Rush
10/06/2018,51.4777435,0.0515065,Morning Rush
11/06/2018,51.503559,0.119933,Afternoon Rush
09/06/2018,51.496991,-0.1025916,Afternoon Rush
10/06/2018,51.5434163,-0.1174761,Midday
11/06/2018,51.5722092,-0.1998773,Midday
09/06/2018,51.36038,-0.15081,Morning Rush
10/06/2018,51.527785,-0.0208724,Evening
11/06/2018,51.5759524,-0.2223992,Afternoon Rush
09/06/2018,51.5409107,-0.1967427,Midday
10/06/2018,51.4972967,-0.1369785,Midday
11/06/2018,51.4603687,0.0497309,Afternoon Rush
09/06/2018,51.5904557,-0.1034463,Afternoon Rush
10/06/2018,51.6000741,-0.1675733,Morning Rush
11/06/2018,51.4659945,-0.1250528,Midday
09/06/2018,51.4579512,-0.0131307,Midday
10/06/2018,51.405788,-0.1292017,Midday
11/06/2018,51.5904557,-0.1034463,Afternoon Rush
09/06/2018,51.4952778,-0.062722,Afternoon Rush
10/06/2018,51.406493,-0.3363279,Midday
11/06/2018,51.4629268,-0.2265511,Morning Rush
09/06/2018,51.4923511,-0.0662168,Evening
10/06/2018,51.4792413,-0.0941685,Morning Rush
11/06/2018,51.4855634,-0.0703596,Midday
09/06/2018,51.5182163,-0.3316738,Afternoon Rush
10/06/2018,51.4983359,-0.2223715,Afternoon Rush
11/06/2018,51.5030099,-0.1157921,Midday
09/06/2018,51.49916,-0.30157,Afternoon Rush
10/06/2018,51.6170521,-0.2611545,Morning Rush
11/06/2018,51.630881,-0.1832835,Midday
09/06/2018,51.5070079,-0.0946922,Morning Rush
10/06/2018,51.3783326,-0.0902305,Midday
11/06/2018,51.6108359,-0.4415331,Midday
09/06/2018,51.5570443,-0.1184111,Afternoon Rush
10/06/2018,51.5705582,-0.0960841,Midday
11/06/2018,51.442024,-0.124359,Midday
09/06/2018,51.4603233,-0.0603926,Evening
10/06/2018,51.4833722,-0.0537399,Afternoon Rush
11/06/2018,51.5024427,-0.110216,Morning Rush
09/06/2018,51.4570337,-0.1938952,Afternoon Rush
10/06/2018,51.4267396,-0.169365,Midday
11/06/2018,51.4618534,-0.2055491,Midday
09/06/2018,51.4971983,-0.1589768,Morning Rush
10/06/2018,51.4993148,-0.3057881,Midday
11/06/2018,51.4267396,-0.169365,Morning Rush
09/06/2018,51.545421,-0.237403,Afternoon Rush
10/06/2018,51.5083356,-0.154349,Midday
11/06/2018,51.4870641,0.0653036,Morning Rush
09/06/2018,51.547037,-0.0511173,Morning Rush
10/06/2018,51.5721478,-0.1244123,Midday
11/06/2018,51.4886638,-0.2891598,Afternoon Rush
09/06/2018,51.4094079,-0.3030746,Afternoon Rush
10/06/2018,51.4851612,-0.1194777,Morning Rush
11/06/2018,51.42476,-0.059399,Midday
09/06/2018,51.5908523,0.0826098,Midday
10/06/2018,51.4328137,-0.1636795,Evening
11/06/2018,51.516,-0.1451,Midday
09/06/2018,51.508039,-0.128069,Afternoon Rush
10/06/2018,51.5904557,-0.1034463,Afternoon Rush
11/06/2018,51.5838724,0.1639421,Afternoon Rush
09/06/2018,51.5073509,-0.1277583,Afternoon Rush
10/06/2018,51.5610756,-0.1089253,Midday
11/06/2018,51.4823872,-0.1128696,Morning Rush
09/06/2018,51.5836095,-0.096297,Midday
10/06/2018,51.495076,-0.099071,Afternoon Rush
11/06/2018,51.5267769,-0.1324905,Afternoon Rush
09/06/2018,51.5030099,-0.1157921,Midday
10/06/2018,51.42453,-0.163372,Evening
11/06/2018,51.5319861,-0.2109066,Afternoon Rush
09/06/2018,51.4191859,-0.2001305,Evening
10/06/2018,51.5739509,-0.2217732,Midday
11/06/2018,51.5191342,-0.0971097,Midday
09/06/2018,51.5227912,-0.1712236,Afternoon Rush
10/06/2018,51.496991,-0.1025916,Afternoon Rush
11/06/2018,51.4722042,-0.1127279,Midday
09/06/2018,51.486112,-0.108178,Midday
10/06/2018,51.6353158,-0.0507768,Midday
11/06/2018,51.5762104,-0.0209114,Midday
09/06/2018,51.4855634,-0.0703596,Midday
10/06/2018,51.4603233,-0.0603926,Evening
11/06/2018,51.3736667,-0.2330327,Midday
09/06/2018,51.4480052,-0.1367427,Midday
10/06/2018,51.5201215,-0.1427236,Midday
11/06/2018,51.533761,-0.2257629,Evening
09/06/2018,51.4517864,0.0754258,Midday
10/06/2018,51.5138557,-0.075803,Afternoon Rush
11/06/2018,51.3724077,-0.1647947,Morning Rush
09/06/2018,51.4993829,-0.1976709,Midday
10/06/2018,51.5846,-0.0669518,Evening
11/06/2018,51.5902193,-0.1393719,Midday
09/06/2018,51.4191859,-0.2001305,Midday
10/06/2018,51.4925695,-0.1742798,Afternoon Rush
11/06/2018,51.4493331,0.0204837,Midday
09/06/2018,51.5167512,-0.062343,Early Morning
10/06/2018,51.4730465,-0.0550556,Midday
11/06/2018,51.429755,-0.1323576,Evening
09/06/2018,51.4316043,0.1252832,Midday
10/06/2018,51.5481714,-0.1300147,Morning Rush
11/06/2018,51.4349427,-0.0412524,Midday
09/06/2018,51.5635025,-0.0586468,Evening
10/06/2018,51.5706881,-0.024361,Early Morning
11/06/2018,51.5164907,-0.0940443,Midday
09/06/2018,51.4533088,-0.1205905,Midday
10/06/2018,51.4635178,-0.1332395,Midday
11/06/2018,51.5580026,0.0753635,Afternoon Rush
09/06/2018,51.361267,-0.192264,Midday
10/06/2018,51.5459123,-0.2516676,Afternoon Rush
11/06/2018,51.5422724,-0.1224187,Midday
09/06/2018,51.5149226,-0.1448236,Morning Rush
10/06/2018,51.5267769,-0.1324905,Morning Rush
11/06/2018,51.5612551,-0.1368691,Midday
09/06/2018,51.5666957,-0.2119411,Afternoon Rush
10/06/2018,51.5393222,-0.0141286,Afternoon Rush
11/06/2018,51.4299306,0.0435751,Afternoon Rush
09/06/2018,51.4948251,0.1211679,Afternoon Rush
10/06/2018,51.4752488,-0.0132098,Midday
11/06/2018,51.5484621,-0.0753937,Evening
09/06/2018,51.5004522,-0.2350711,Evening
10/06/2018,51.50944,-0.13733,Midday
11/06/2018,51.4761198,-0.3532215,Afternoon Rush
09/06/2018,51.4993829,-0.1976709,Midday
10/06/2018,51.444055,-0.020264,Midday
11/06/2018,51.4616056,-0.1736544,Afternoon Rush
09/06/2018,51.4650644,-0.1590676,Midday
10/06/2018,51.5201215,-0.1427236,Evening
11/06/2018,51.5149226,-0.1448236,Evening
09/06/2018,51.5149226,-0.1448236,Midday
10/06/2018,51.5492629,0.1021538,Midday
11/06/2018,51.575666,-0.198171,Evening
09/06/2018,51.54559,-0.22165,Evening
10/06/2018,51.5544706,-0.2167641,Midday
11/06/2018,51.4880166,0.0696251,Afternoon Rush
09/06/2018,51.51356,-0.090711,Afternoon Rush
10/06/2018,51.5154539,-0.3037829,Early Morning
11/06/2018,51.6522994,-0.0807119,Midday
09/06/2018,51.5464558,-0.0812023,Morning Rush
10/06/2018,51.5784404,-0.1536866,Morning Rush
11/06/2018,51.5164907,-0.0940443,Midday
09/06/2018,51.5570443,-0.1184111,Midday
10/06/2018,51.4738557,-0.1646818,Afternoon Rush
11/06/2018,51.3843665,-0.1903271,Early Morning
09/06/2018,51.5178274,0.0321034,Afternoon Rush
10/06/2018,51.4650644,-0.1590676,Midday
11/06/2018,51.4466495,-0.2409121,Midday
09/06/2018,51.4409636,-0.1869488,Midday
10/06/2018,51.500654,-0.235605,Evening
11/06/2018,51.5202997,-0.1339967,Evening
09/06/2018,51.5893292,-0.1082987,Midday
10/06/2018,51.5482302,-0.0025153,Morning Rush
11/06/2018,51.5906601,-0.2095131,Evening
09/06/2018,51.4931294,0.160191,Morning Rush
10/06/2018,51.4704175,-0.2440004,Midday
11/06/2018,51.5278965,-0.015745,Midday
09/06/2018,51.5154291,-0.1188796,Evening
10/06/2018,51.554994,-0.074717,Midday
11/06/2018,51.50722,-0.1275,Midday
09/06/2018,51.47347,-0.12238,Midday
10/06/2018,51.5281344,-0.3545989,Morning Rush
11/06/2018,51.4983359,-0.2223715,Midday
09/06/2018,51.5038855,-0.2206328,Afternoon Rush
10/06/2018,51.5101602,-0.287387,Evening
11/06/2018,51.4295456,-0.1315739,Midday
09/06/2018,51.509961,0.0262241,Midday
10/06/2018,51.4629268,-0.2265511,Midday
11/06/2018,51.4545465,-0.0966608,Afternoon Rush
09/06/2018,51.3787903,-0.1017109,Early Morning
10/06/2018,51.3585911,-0.030483,Midday
11/06/2018,51.3831187,-0.1374393,Morning Rush
09/06/2018,51.3544142,-0.0963944,Morning Rush
10/06/2018,51.378766,-0.1011623,Afternoon Rush
11/06/2018,51.378766,-0.1011623,Afternoon Rush
09/06/2018,51.4613989,-0.0469141,Midday
10/06/2018,51.5101628,-0.0121373,Midday
11/06/2018,51.4632453,-0.2158717,Midday
09/06/2018,51.5073,-0.12755,Evening
10/06/2018,51.5137859,-0.130116,Midday
11/06/2018,51.516356,-0.150225,Morning Rush
09/06/2018,51.5189796,-0.16859,Afternoon Rush
10/06/2018,51.5129766,-0.128096,Midday
11/06/2018,51.5904557,-0.1034463,Midday
09/06/2018,51.5611836,-0.1971136,Midday
10/06/2018,51.4988733,-0.1336205,Midday
11/06/2018,51.5112684,-0.123038,Midday
09/06/2018,51.5709902,-0.1396062,Midday
10/06/2018,51.4820137,0.0421131,Morning Rush
11/06/2018,51.4801638,-0.1962955,Afternoon Rush
09/06/2018,51.55804,0.10838904,Midday
